30 3
3 3 3
# Stage 1
22 37 33
13 46 11
45 12 11
27 33 11
14 50 38
40 17 30
25 29 21
26 36 44
22 21 16
25 46 44
18 14 18
16 14 44
44 27 49
15 13 38
14 25 21
11 47 19
42 22 33
15 47 25
10 19 10
19 41 10
47 42 40
11 13 45
38 37 16
12 43 10
13 44 49
44 45 46
25 45 37
36 32 21
38 17 49
32 48 28
# Stage 2
31 13 23
25 21 31
28 15 42
44 42 47
16 46 23
40 15 11
45 38 11
39 28 43
12 21 44
29 42 12
16 44 27
35 22 33
15 43 48
20 34 42
10 19 38
23 43 37
10 18 22
20 40 21
14 34 29
20 22 12
10 26 22
26 49 15
47 40 27
18 16 13
27 46 29
18 17 18
47 18 37
19 29 17
48 18 26
20 17 20
# Stage 3
24 19 36
10 40 34
35 45 19
43 40 46
35 48 44
38 28 37
34 34 44
49 24 24
38 28 23
46 39 41
40 20 23
21 23 38
24 38 23
24 50 42
14 33 46
34 19 16
50 47 20
37 16 45
16 42 39
31 41 42
41 26 38
44 11 27
11 47 27
42 32 23
25 30 14
35 40 44
37 31 50
23 10 31
27 19 42
31 23 13
