Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,555.0000,896.4425,1468.0000,0.1365
1,555.0000,769.7660,863.0000,0.1628
2,524.0000,709.0985,784.0000,0.3096
3,498.0000,666.2470,729.0000,0.4540
4,487.0000,629.7210,692.0000,0.6171
5,480.0000,600.1245,648.0000,0.7662
6,478.0000,577.7730,617.0000,0.9113
7,474.0000,559.2020,605.0000,1.0674
8,465.0000,544.1390,575.0000,1.2091
9,461.0000,531.3760,564.0000,1.3554
10,461.0000,521.2355,570.0000,1.5044
11,461.0000,512.5020,534.0000,1.6631
12,461.0000,505.9710,581.0000,1.8218
13,459.0000,500.6880,541.0000,2.1814
14,458.0000,495.6860,512.0000,2.5237
15,458.0000,490.9970,506.0000,2.7133
16,458.0000,487.3795,501.0000,2.8788
17,458.0000,484.0450,497.0000,3.0407
18,456.0000,480.8345,548.0000,3.1928
19,456.0000,477.8215,499.0000,3.3400
20,456.0000,475.1100,505.0000,3.4833
21,456.0000,472.5050,509.0000,3.6463
22,456.0000,470.1595,533.0000,3.7952
23,456.0000,467.8120,476.0000,3.9421
24,456.0000,465.6160,474.0000,4.1039
25,456.0000,463.5495,470.0000,4.2427
26,456.0000,461.8560,519.0000,4.3823
27,456.0000,460.4120,465.0000,4.5246
28,456.0000,459.2175,463.0000,4.6930
29,456.0000,458.2720,461.0000,4.8363
30,456.0000,457.5085,459.0000,4.9765
31,456.0000,457.1340,458.0000,5.1236
32,456.0000,456.7340,458.0000,5.2649
33,456.0000,456.1000,458.0000,5.4112
34,456.0000,456.0000,456.0000,5.5509
35,456.0000,456.0000,456.0000,5.7119
36,456.0000,456.0000,456.0000,5.8574
37,456.0000,456.0000,456.0000,6.0024
38,456.0000,456.0000,456.0000,6.1504
39,456.0000,456.0000,456.0000,6.2929
40,456.0000,456.0000,456.0000,6.4382
41,456.0000,456.0000,456.0000,6.6030
42,456.0000,456.0220,500.0000,6.7478
43,456.0000,456.0000,456.0000,6.8858
44,456.0000,456.0000,456.0000,7.0294
45,456.0000,456.0535,563.0000,7.1672
46,456.0000,456.0000,456.0000,7.3565
47,456.0000,456.0600,576.0000,8.0537
48,456.0000,456.0000,456.0000,8.2081
49,456.0000,456.0000,456.0000,8.3571
50,456.0000,456.0000,456.0000,8.5118
51,456.0000,456.0000,456.0000,8.6756
52,456.0000,456.0180,492.0000,8.8254
53,456.0000,456.0000,456.0000,8.9705
54,456.0000,456.0350,526.0000,9.1198
55,456.0000,456.0000,456.0000,9.2644
56,456.0000,456.0000,456.0000,9.4083
57,456.0000,456.0000,456.0000,9.5581
58,456.0000,456.0000,456.0000,9.7099
59,456.0000,456.0000,456.0000,9.8587
60,456.0000,456.0240,504.0000,9.9993
61,456.0000,456.0080,472.0000,10.1602
62,456.0000,456.0000,456.0000,10.3018
63,456.0000,456.0000,456.0000,10.5133
64,456.0000,456.0000,456.0000,10.8261
65,456.0000,456.0000,456.0000,11.0482
66,456.0000,456.0000,456.0000,11.2110
67,456.0000,456.0000,456.0000,11.3988
68,456.0000,456.0225,501.0000,11.5705
69,456.0000,566.1565,702.0000,12.5530
70,456.0000,501.3180,567.0000,12.7947
71,456.0000,475.3300,522.0000,12.9981
72,456.0000,461.5350,489.0000,13.1745
73,456.0000,456.0000,456.0000,13.3318
74,456.0000,456.0180,492.0000,13.4900
75,456.0000,456.0180,492.0000,13.6631
76,456.0000,456.0165,489.0000,13.8102
77,456.0000,456.0000,456.0000,13.9614
78,456.0000,456.0325,521.0000,14.1163
79,456.0000,456.0165,489.0000,14.2720
80,456.0000,456.0000,456.0000,14.4213
81,456.0000,456.0000,456.0000,14.5748
82,456.0000,456.0000,456.0000,14.7289
83,456.0000,456.0000,456.0000,14.8732
84,456.0000,456.0000,456.0000,15.0211
85,456.0000,456.0165,489.0000,15.1585
86,456.0000,456.0000,456.0000,15.3080
87,456.0000,456.0240,504.0000,15.4554
88,456.0000,456.0110,478.0000,15.6199
89,456.0000,456.0000,456.0000,15.7715
90,456.0000,456.0000,456.0000,15.9090
91,456.0000,456.0240,504.0000,16.0579
92,456.0000,456.0175,491.0000,16.1954
93,456.0000,456.0225,501.0000,16.3484
94,456.0000,456.0000,456.0000,16.4986
95,456.0000,456.0000,456.0000,16.6745
96,456.0000,456.0000,456.0000,16.8248
97,456.0000,456.0015,459.0000,16.9737
98,456.0000,456.0000,456.0000,17.1583
99,456.0000,456.0165,489.0000,17.6284
100,456.0000,456.0000,456.0000,17.9583
101,456.0000,456.0220,500.0000,18.1301
102,456.0000,456.0000,456.0000,18.2893
103,456.0000,456.0000,456.0000,18.4414
104,456.0000,456.0000,456.0000,18.6058
105,456.0000,456.0205,497.0000,18.7588
106,456.0000,456.0000,456.0000,18.9089
107,456.0000,456.0000,456.0000,19.0596
108,456.0000,456.0180,492.0000,19.2139
109,456.0000,456.0000,456.0000,19.3583
110,456.0000,456.0000,456.0000,19.5021
111,456.0000,456.0225,501.0000,19.6585
112,456.0000,456.0000,456.0000,19.8078
113,456.0000,456.0000,456.0000,19.9534
114,456.0000,456.0430,542.0000,20.0952
115,456.0000,456.0000,456.0000,20.2375
116,456.0000,456.0220,500.0000,20.3801
117,456.0000,456.0000,456.0000,20.5206
118,456.0000,456.0380,532.0000,20.6802
119,456.0000,564.6310,696.0000,20.9891
120,456.0000,499.0925,561.0000,21.1378
121,456.0000,475.0735,524.0000,21.2869
122,456.0000,462.0235,489.0000,21.4293
123,456.0000,456.0000,456.0000,21.5804
124,456.0000,456.0000,456.0000,21.7362
125,456.0000,456.0000,456.0000,21.8836
126,456.0000,456.0000,456.0000,22.0289
127,456.0000,456.0000,456.0000,22.1701
128,456.0000,456.0000,456.0000,22.3130
129,456.0000,456.0000,456.0000,22.4626
130,456.0000,456.0000,456.0000,22.7370
131,456.0000,456.0010,458.0000,23.1451
132,456.0000,456.0285,513.0000,23.4063
133,456.0000,456.0000,456.0000,23.5787
134,456.0000,456.0000,456.0000,23.7373
135,456.0000,456.0000,456.0000,23.8921
136,456.0000,456.0000,456.0000,24.0458
137,456.0000,456.0000,456.0000,24.2053
138,456.0000,456.0000,456.0000,24.3543
139,456.0000,456.0000,456.0000,24.5036
140,456.0000,456.0000,456.0000,24.6750
141,456.0000,456.0000,456.0000,24.8245
142,456.0000,456.0000,456.0000,24.9640
143,456.0000,456.0000,456.0000,25.1065
144,456.0000,456.0000,456.0000,25.2521
145,456.0000,456.0000,456.0000,25.3866
146,456.0000,456.0240,504.0000,25.5333
147,456.0000,456.0000,456.0000,25.6973
148,456.0000,456.0000,456.0000,25.8439
149,456.0000,456.0165,489.0000,26.0160
150,456.0000,456.0125,481.0000,26.1587
151,456.0000,456.0000,456.0000,26.3002
152,456.0000,456.0000,456.0000,26.4411
153,456.0000,456.0000,456.0000,26.5891
154,456.0000,456.0000,456.0000,26.7395
155,456.0000,456.0000,456.0000,26.8859
156,456.0000,456.0000,456.0000,27.0459
157,456.0000,456.0000,456.0000,27.3589
158,456.0000,456.0000,456.0000,27.7609
159,456.0000,456.0000,456.0000,27.9862
160,456.0000,456.0000,456.0000,28.1482
161,456.0000,456.0000,456.0000,28.3067
162,456.0000,456.0085,473.0000,28.4620
163,456.0000,456.0000,456.0000,28.6193
164,456.0000,456.0000,456.0000,28.7718
165,456.0000,456.0000,456.0000,28.9118
166,456.0000,456.0000,456.0000,29.0619
167,456.0000,456.0000,456.0000,29.2085
168,456.0000,456.0000,456.0000,29.3525
169,456.0000,563.8200,704.0000,29.6993
170,456.0000,499.6930,564.0000,29.8486
171,456.0000,474.4475,506.0000,30.0026
172,456.0000,461.5505,504.0000,30.1416
173,456.0000,456.0000,456.0000,30.2872
174,456.0000,456.0000,456.0000,30.4258
175,456.0000,456.0000,456.0000,30.5851
176,456.0000,456.0000,456.0000,30.7313
177,456.0000,456.0000,456.0000,30.8765
178,456.0000,456.0045,465.0000,31.0167
179,456.0000,456.0000,456.0000,31.1642
180,456.0000,456.0000,456.0000,31.3049
181,456.0000,456.0000,456.0000,31.4542
182,456.0000,456.0080,472.0000,31.6152
183,456.0000,456.0395,535.0000,31.7697
184,456.0000,456.0000,456.0000,31.9127
185,456.0000,456.0000,456.0000,32.0659
186,456.0000,456.0000,456.0000,32.2121
187,456.0000,456.0210,498.0000,32.3670
188,456.0000,456.0000,456.0000,32.6448
189,456.0000,456.0395,535.0000,33.0411
190,456.0000,456.0000,456.0000,33.3199
191,456.0000,456.0000,456.0000,33.5196
192,456.0000,456.0000,456.0000,33.7096
193,456.0000,456.0220,500.0000,33.8622
194,456.0000,456.0165,489.0000,34.0142
195,456.0000,456.0000,456.0000,34.1611
196,456.0000,456.0000,456.0000,34.3120
197,456.0000,456.0000,456.0000,34.4649
198,456.0000,456.0315,519.0000,34.6372
199,456.0000,456.0000,456.0000,34.7823
200,456.0000,456.0285,513.0000,34.9287
201,456.0000,456.0000,456.0000,35.0885
202,456.0000,456.0000,456.0000,35.2319
203,456.0000,456.0000,456.0000,35.3750
204,456.0000,456.0000,456.0000,35.5111
205,456.0000,456.0000,456.0000,35.6715
206,456.0000,456.0000,456.0000,35.8111
207,456.0000,456.0270,510.0000,35.9495
208,456.0000,456.0000,456.0000,36.0950
209,456.0000,456.0000,456.0000,36.2353
210,456.0000,456.0000,456.0000,36.3769
211,456.0000,456.0000,456.0000,36.5132
212,456.0000,456.0000,456.0000,36.6741
213,456.0000,456.0000,456.0000,36.8175
214,456.0000,456.0000,456.0000,36.9551
215,456.0000,456.0000,456.0000,37.1033
216,456.0000,456.0000,456.0000,37.2574
217,456.0000,456.0165,489.0000,37.4018
218,456.0000,456.0000,456.0000,37.5537
219,456.0000,561.3240,697.0000,38.4267
220,456.0000,498.7615,563.0000,38.6081
221,456.0000,472.7320,512.0000,38.7715
222,456.0000,459.4230,481.0000,38.9197
223,456.0000,456.0000,456.0000,39.0750
224,456.0000,456.0080,472.0000,39.2271
225,456.0000,456.0000,456.0000,39.3803
226,456.0000,456.0000,456.0000,39.5173
227,456.0000,456.0000,456.0000,39.6753
228,456.0000,456.0345,525.0000,39.8182
229,456.0000,456.0000,456.0000,39.9620
230,456.0000,456.0000,456.0000,40.1070
231,456.0000,456.0000,456.0000,40.2469
232,456.0000,456.0000,456.0000,40.3926
233,456.0000,456.0000,456.0000,40.5329
234,456.0000,456.0000,456.0000,40.6925
235,456.0000,456.0000,456.0000,40.8361
236,456.0000,456.0000,456.0000,40.9907
237,456.0000,456.0000,456.0000,41.1468
238,456.0000,456.0000,456.0000,41.2910
239,456.0000,456.0000,456.0000,41.4287
240,456.0000,456.0000,456.0000,41.5902
241,456.0000,456.0220,500.0000,41.7487
242,456.0000,456.0165,489.0000,41.8919
243,456.0000,456.0000,456.0000,42.0772
244,456.0000,456.0165,489.0000,42.6154
245,456.0000,456.0000,456.0000,42.9096
246,456.0000,456.0000,456.0000,43.0729
247,456.0000,456.0000,456.0000,43.2256
248,456.0000,456.0165,489.0000,43.3916
249,456.0000,456.0000,456.0000,43.5428
250,456.0000,456.0000,456.0000,43.7205
251,456.0000,456.0165,489.0000,43.8729
252,456.0000,456.0000,456.0000,44.0167
