Instance,Permutation,Jobs,Stages,InitialFitness,BestFitness,WorstFitness,AvgFitness,StdDev,FinalFitness,Improvement(%),RPD(%),ExecutionTime_ms,TimePerGen_ms,PopSize,Generations,ConvergenceGen,ConvergencePercent(%),FitnessDiversity,BestChromosome,GAConfig
I1.txt,P1.txt,10,3,176.0000,85.0000,85.0000,85.0000,0.2219,85.0000,51.7045,0.0000,3007.0000,6.0140,70,500,9,1.8000,0.0000,[8 6 2 5 9 1 0 7 4 3],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I2.txt,P2.txt,10,3,68.0000,36.0000,36.0000,36.0000,0.0857,36.0000,47.0588,0.0000,3006.0000,6.0120,70,500,1,0.2000,0.0000,[2 3 7 6 4 0 8 1 5 9],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I3.txt,P3.txt,10,3,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,100.0000,0.0000,3006.0000,6.0120,70,500,0,0.0000,0.0000,[0 8 7 9 1 5 6 2 3 4],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I4.txt,P4.txt,10,3,31.0000,4.0000,4.0000,4.0000,0.0000,4.0000,87.0968,0.0000,3004.0000,6.0080,70,500,0,0.0000,0.0000,[8 9 3 0 1 2 4 6 7 5],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I5.txt,P5.txt,10,3,90.0000,67.0000,67.0000,67.0000,0.0000,67.0000,25.5556,0.0000,3005.0000,6.0100,70,500,0,0.0000,0.0000,[1 7 9 5 0 8 3 6 4 2],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I6.txt,P6.txt,10,3,97.0000,49.0000,49.0000,49.0000,0.0000,49.0000,49.4845,0.0000,3004.0000,6.0080,70,500,0,0.0000,0.0000,[1 0 7 3 5 4 9 6 8 2],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I7.txt,P7.txt,10,3,37.0000,26.0000,26.0000,26.0000,0.0000,26.0000,29.7297,0.0000,3004.0000,6.0080,70,500,0,0.0000,0.0000,[5 2 8 9 1 4 6 3 7 0],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I8.txt,P8.txt,10,3,82.0000,39.0000,39.0000,39.0000,0.0000,39.0000,52.4390,0.0000,3002.0000,6.0040,70,500,0,0.0000,0.0000,[4 1 7 3 6 0 5 2 9 8],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I9.txt,P9.txt,10,3,172.0000,132.0000,132.0000,132.0000,0.3116,132.0000,23.2558,0.0000,3004.0000,6.0080,70,500,1,0.2000,0.0000,[0 8 9 3 7 1 4 2 5 6],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I10.txt,P10.txt,10,3,158.0000,33.0000,33.0000,33.0000,0.0000,33.0000,79.1139,0.0000,3004.0000,6.0080,70,500,0,0.0000,0.0000,[8 3 6 7 4 0 5 1 9 2],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I11.txt,P11.txt,10,3,85.0000,40.0000,40.0000,40.0000,0.0000,40.0000,52.9412,0.0000,3006.0000,6.0120,70,500,0,0.0000,0.0000,[4 0 6 2 9 5 7 8 1 3],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I12.txt,P12.txt,10,3,134.0000,72.0000,72.0000,72.0000,0.0985,72.0000,46.2687,0.0000,3004.0000,6.0080,70,500,3,0.6000,0.0000,[9 6 0 4 2 3 7 1 5 8],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I13.txt,P13.txt,10,3,96.0000,49.0000,49.0000,49.0000,0.0280,49.0000,48.9583,0.0000,3005.0000,6.0100,70,500,1,0.2000,0.0000,[5 4 7 0 6 2 1 3 9 8],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I14.txt,P14.txt,10,3,49.0000,10.0000,10.0000,10.0000,0.0000,10.0000,79.5918,0.0000,3016.0000,6.0320,70,500,0,0.0000,0.0000,[6 1 5 7 2 3 4 9 8 0],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I15.txt,P15.txt,10,3,136.0000,66.0000,66.0000,66.0000,0.0562,66.0000,51.4706,0.0000,3004.0000,6.0080,70,500,1,0.2000,0.0000,[2 5 8 4 7 6 0 3 9 1],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I16.txt,P16.txt,10,3,57.0000,46.0000,46.0000,46.0000,0.0000,46.0000,19.2982,0.0000,3005.0000,6.0100,70,500,0,0.0000,0.0000,[8 6 2 1 0 7 9 5 4 3],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I17.txt,P17.txt,10,3,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,3002.0000,6.0040,70,500,0,0.0000,0.0000,[5 0 8 2 1 3 7 9 6 4],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I18.txt,P18.txt,10,3,23.0000,1.0000,1.0000,1.0000,0.0000,1.0000,95.6522,0.0000,3006.0000,6.0120,70,500,0,0.0000,0.0000,[6 4 9 2 7 1 3 0 8 5],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I19.txt,P19.txt,10,3,40.0000,27.0000,27.0000,27.0000,0.0000,27.0000,32.5000,0.0000,3005.0000,6.0100,70,500,0,0.0000,0.0000,[5 6 1 2 7 9 0 3 8 4],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I20.txt,P20.txt,10,3,12.0000,12.0000,12.0000,12.0000,0.0000,12.0000,0.0000,0.0000,3006.0000,6.0120,70,500,0,0.0000,0.0000,[4 7 8 5 0 1 2 9 3 6],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I21.txt,P21.txt,10,3,19.0000,15.0000,15.0000,15.0000,0.0000,15.0000,21.0526,0.0000,3005.0000,6.0100,70,500,0,0.0000,0.0000,[5 9 8 4 2 6 0 3 1 7],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I22.txt,P22.txt,10,3,97.0000,17.0000,17.0000,17.0000,0.0000,17.0000,82.4742,0.0000,3005.0000,6.0100,70,500,0,0.0000,0.0000,[5 9 2 0 3 7 6 8 1 4],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I23.txt,P23.txt,10,3,193.0000,97.0000,97.0000,97.0000,0.0000,97.0000,49.7409,0.0000,3006.0000,6.0120,70,500,0,0.0000,0.0000,[8 7 5 3 1 6 9 0 2 4],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I24.txt,P24.txt,10,3,80.0000,32.0000,32.0000,32.0000,0.0000,32.0000,60.0000,0.0000,3005.0000,6.0100,70,500,0,0.0000,0.0000,[7 3 9 4 8 6 5 2 0 1],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I25.txt,P25.txt,10,3,69.0000,39.0000,39.0000,39.0000,0.0000,39.0000,43.4783,0.0000,3005.0000,6.0100,70,500,0,0.0000,0.0000,[9 8 0 7 3 1 2 6 4 5],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I26.txt,P26.txt,10,3,104.0000,50.0000,50.0000,50.0000,0.0000,50.0000,51.9231,0.0000,3005.0000,6.0100,70,500,0,0.0000,0.0000,[8 9 0 3 4 6 7 2 1 5],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I27.txt,P27.txt,10,3,174.0000,109.0000,109.0000,109.0000,0.3771,109.0000,37.3563,0.0000,3006.0000,6.0120,70,500,102,20.4000,0.0000,[1 9 0 3 8 7 2 5 4 6],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I28.txt,P28.txt,10,3,101.0000,46.0000,46.0000,46.0000,0.0000,46.0000,54.4554,0.0000,3007.0000,6.0140,70,500,0,0.0000,0.0000,[2 1 4 3 6 0 8 7 9 5],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I29.txt,P29.txt,10,3,76.0000,7.0000,7.0000,7.0000,0.0000,7.0000,90.7895,0.0000,3006.0000,6.0120,70,500,0,0.0000,0.0000,[5 3 9 7 4 1 6 2 0 8],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I30.txt,P30.txt,10,3,14.0000,14.0000,14.0000,14.0000,0.0000,14.0000,0.0000,0.0000,3005.0000,6.0100,70,500,0,0.0000,0.0000,[5 7 8 4 1 9 3 2 6 0],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I31.txt,P31.txt,20,3,268.0000,117.0000,117.0000,117.0000,3.8891,117.0000,56.3433,0.0000,3005.0000,6.0100,70,500,535,107.0000,0.0000,[14 6 2 18 19 9 5 11 15 1 10 13 3 0 12 17 16 8 4 7],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
I32.txt,P32.txt,20,3,203.0000,83.0000,83.0000,83.0000,2.6050,83.0000,59.1133,0.0000,3003.0000,6.0060,70,500,15,3.0000,0.0000,[7 6 2 8 14 5 12 17 9 11 19 10 16 13 3 0 1 15 4 18],Tournament|OBX|Insert|Pop:70|Pc:0.95|Pm:0.03
