30 3
3 3 3
# Stage 1
33 30 35
23 16 31
12 11 20
36 30 15
26 31 32
27 18 42
10 46 40
44 40 38
30 25 32
43 42 30
11 20 13
17 38 42
23 33 14
18 47 17
45 29 46
26 26 22
37 36 48
13 27 42
32 47 37
36 15 48
47 22 39
30 24 12
46 29 18
24 47 21
28 37 11
41 18 20
14 10 39
27 10 20
13 32 21
50 14 42
# Stage 2
27 23 18
21 10 17
23 31 28
15 45 30
28 15 24
49 47 20
38 29 20
31 18 12
16 42 40
31 36 18
12 22 11
37 37 15
28 45 41
44 10 50
11 15 19
48 25 37
44 27 19
28 13 33
22 22 45
26 32 35
34 38 18
17 42 28
31 45 39
14 18 41
36 16 21
41 25 20
15 31 50
41 28 36
18 22 43
47 46 38
# Stage 3
42 49 20
44 45 15
19 28 26
46 24 23
18 19 24
26 37 29
19 50 35
38 43 28
16 34 25
10 36 24
24 32 34
13 10 26
20 34 27
21 41 46
22 15 32
19 23 39
41 42 30
31 34 47
43 11 23
25 45 29
37 41 40
45 31 46
42 27 38
24 31 41
28 16 23
25 34 14
24 47 18
42 30 15
47 48 20
36 37 20
