Generation,BestFitness,AvgFitness,WorstFitness,ElapsedTime
0,322.0,484.1,759.0,0.1
1,321.0,526.9,974.0,0.1
2,321.0,535.1,997.0,0.1
3,321.0,540.3,961.0,0.1
4,318.0,539.9,986.0,0.1
5,307.0,464.4,744.0,0.2
6,307.0,508.7,942.0,0.2
7,307.0,524.4,898.0,0.2
8,307.0,527.4,942.0,0.2
9,307.0,524.9,946.0,0.2
10,302.0,455.3,715.0,0.3
11,302.0,503.0,984.0,0.3
12,302.0,515.4,889.0,0.4
13,302.0,519.2,981.0,0.4
14,302.0,518.3,990.0,0.4
15,302.0,451.1,783.0,0.5
16,302.0,497.7,865.0,0.5
17,302.0,510.9,981.0,0.5
18,302.0,516.8,1037.0,0.5
19,302.0,517.2,878.0,0.5
20,302.0,450.4,728.0,0.6
21,302.0,492.9,887.0,0.6
22,302.0,510.0,951.0,0.6
23,302.0,520.3,980.0,0.6
24,302.0,522.6,980.0,0.6
25,302.0,449.5,781.0,0.7
26,302.0,493.9,997.0,0.7
27,302.0,508.3,917.0,0.7
28,302.0,511.6,969.0,0.7
29,302.0,515.2,948.0,0.7
30,302.0,448.7,765.0,0.8
31,302.0,495.7,906.0,0.8
32,302.0,506.4,852.0,0.8
33,302.0,509.2,1012.0,0.9
34,302.0,514.3,944.0,0.9
35,302.0,447.1,730.0,1.0
36,302.0,496.7,1065.0,1.0
37,302.0,509.7,883.0,1.0
38,302.0,516.2,920.0,1.0
39,302.0,519.5,945.0,1.0
40,302.0,448.9,777.0,1.1
41,302.0,494.3,841.0,1.1
42,302.0,507.9,946.0,1.1
43,302.0,514.7,955.0,1.1
44,302.0,515.9,912.0,1.2
45,302.0,447.9,750.0,1.3
46,302.0,494.8,954.0,1.3
47,302.0,510.5,905.0,1.3
48,302.0,510.3,965.0,1.3
49,302.0,513.9,985.0,1.3
50,302.0,444.2,729.0,1.5
51,302.0,491.9,854.0,1.5
52,302.0,506.6,870.0,1.5
53,302.0,513.4,1020.0,1.5
54,302.0,512.8,970.0,1.5
55,302.0,445.7,761.0,1.6
56,302.0,492.1,864.0,1.7
57,302.0,504.9,875.0,1.7
58,302.0,506.1,899.0,1.7
59,302.0,512.3,963.0,1.7
60,302.0,443.3,724.0,1.8
61,302.0,491.0,988.0,1.8
62,302.0,506.4,908.0,1.8
63,302.0,511.1,926.0,1.8
64,302.0,512.7,868.0,1.8
65,302.0,444.6,715.0,1.9
66,302.0,493.8,962.0,1.9
67,302.0,508.5,1042.0,1.9
68,302.0,511.6,1029.0,1.9
69,302.0,511.8,912.0,1.9
70,302.0,443.7,674.0,2.0
71,302.0,491.5,931.0,2.0
72,302.0,502.9,955.0,2.0
73,302.0,505.7,924.0,2.0
74,302.0,507.6,879.0,2.0
75,302.0,441.6,782.0,2.1
76,302.0,488.4,895.0,2.1
77,302.0,502.0,906.0,2.2
78,302.0,508.0,961.0,2.2
79,302.0,512.1,895.0,2.2
80,302.0,444.7,730.0,2.3
81,302.0,492.7,888.0,2.3
82,302.0,504.8,941.0,2.3
83,302.0,511.0,965.0,2.3
84,302.0,511.1,990.0,2.3
85,302.0,444.6,688.0,2.4
86,302.0,488.1,841.0,2.4
87,302.0,501.5,840.0,2.4
88,302.0,507.6,954.0,2.4
89,302.0,508.7,903.0,2.4
90,302.0,440.7,700.0,2.5
91,302.0,488.8,926.0,2.5
92,302.0,500.8,945.0,2.5
93,302.0,506.3,945.0,2.5
94,302.0,508.4,872.0,2.5
95,302.0,441.2,674.0,2.6
96,302.0,486.6,830.0,2.6
97,302.0,503.7,890.0,2.6
98,302.0,509.0,906.0,2.6
99,302.0,511.8,951.0,2.6
100,302.0,443.8,657.0,2.7
101,302.0,492.2,875.0,2.8
102,302.0,504.1,889.0,2.8
103,302.0,508.9,919.0,2.8
104,302.0,511.4,935.0,2.8
105,302.0,444.5,700.0,2.9
106,302.0,490.8,875.0,2.9
107,302.0,503.8,977.0,2.9
108,302.0,505.9,915.0,2.9
109,302.0,511.6,885.0,2.9
110,302.0,442.8,670.0,3.0
111,302.0,490.7,970.0,3.0
112,302.0,503.9,955.0,3.0
113,302.0,510.1,920.0,3.0
114,302.0,510.5,969.0,3.0
115,302.0,442.3,785.0,3.1
