Instance,Jobs,Stages,InitialFitness,BestFitness,WorstFitness,AvgFitness,StdDev,FinalFitness,Improvement(%),RPD(%),ExecutionTime_ms,TimePerGen_ms,PopSize,Generations,ConvergenceGen,ConvergencePercent(%),FitnessDiversity,BestChromosome,PSOConfig
I1,15,2,1962.0000,1945.0000,2840.0000,2249.0725,303.9567,1945.0000,0.8665,0.0000,23311.0000,11.6555,2000,2000,36,1.8000,0.3979,11-15-6-2-1-3-5-13-4-7-9-12-14-8-10,PSO|Pop:2000|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I2,15,2,1234.0000,1213.0000,2047.0000,1543.4595,330.3810,1213.0000,1.7018,0.0000,23078.0000,11.5390,2000,2000,10,0.5000,0.5403,13-4-14-5-11-9-15-10-7-8-6-1-2-3-12,PSO|Pop:2000|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I3,15,2,65.0000,65.0000,383.0000,155.5810,90.5810,65.0000,0.0000,0.0000,29913.0000,14.9565,2000,2000,0,0.0000,2.0440,5-12-15-7-8-1-4-9-6-10-2-11-3-14-13,PSO|Pop:2000|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I4,15,2,188.0000,184.0000,744.0000,340.8990,156.8930,184.0000,2.1277,0.0000,30106.0000,15.0530,2000,2000,9,0.4500,1.6427,3-7-11-9-10-14-12-6-2-5-15-1-8-4-13,PSO|Pop:2000|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I5,15,3,1972.0000,1959.0000,2890.0000,2274.8400,315.8124,1959.0000,0.6592,0.0000,29219.0000,14.6095,2000,2000,10,0.5000,0.4093,7-1-15-2-13-8-10-11-14-3-5-9-4-6-12,PSO|Pop:2000|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I6,15,3,1717.0000,1700.0000,2541.0000,2016.1320,316.0682,1700.0000,0.9901,0.0000,29041.0000,14.5205,2000,2000,20,1.0000,0.4171,15-10-11-12-3-8-14-6-2-9-13-7-5-4-1,PSO|Pop:2000|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I7,15,3,1486.0000,1441.0000,2455.0000,1784.7985,343.6944,1441.0000,3.0283,0.0000,29201.0000,14.6005,2000,2000,25,1.2500,0.5681,8-11-1-4-9-13-10-5-2-3-12-7-15-6-14,PSO|Pop:2000|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I8,15,3,318.0000,315.0000,846.0000,487.4240,172.3868,315.0000,0.9434,0.0000,35180.0000,17.5900,2000,2000,25,1.2500,1.0894,11-6-4-1-8-7-9-10-3-14-5-15-2-13-12,PSO|Pop:2000|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I9,15,3,358.0000,347.0000,974.0000,523.8270,176.7646,347.0000,3.0726,0.0000,35924.0000,17.9620,2000,2000,90,4.5000,1.1970,14-2-10-12-11-4-1-13-8-3-15-9-5-6-7,PSO|Pop:2000|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I10,15,3,1.0000,1.0000,164.0000,36.8230,35.8230,1.0000,0.0000,0.0000,43678.0000,21.8390,2000,2000,0,0.0000,4.4266,7-15-4-14-5-13-1-8-10-2-11-3-9-12-6,PSO|Pop:2000|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I11,15,3,2.0000,2.0000,150.0000,33.8850,31.8850,2.0000,0.0000,0.0000,43887.0000,21.9435,2000,2000,0,0.0000,4.3677,13-15-7-2-10-9-5-4-3-6-8-14-12-1-11,PSO|Pop:2000|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I12,15,4,1954.0000,1916.0000,2684.0000,2185.7520,269.6624,1916.0000,1.9447,0.0000,38057.0000,19.0285,2000,2000,10,0.5000,0.3514,1-14-13-15-8-4-10-7-12-9-2-5-6-3-11,PSO|Pop:2000|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I13,15,4,1566.0000,1549.0000,2235.0000,1800.3255,251.2631,1549.0000,1.0856,0.0000,38084.0000,19.0420,2000,2000,25,1.2500,0.3810,6-8-3-2-1-5-7-4-9-12-13-15-10-14-11,PSO|Pop:2000|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I14,15,4,167.0000,167.0000,619.0000,307.5285,140.5285,167.0000,0.0000,0.0000,49074.0000,24.5370,2000,2000,0,0.0000,1.4698,9-15-13-10-12-3-8-1-4-5-6-7-14-2-11,PSO|Pop:2000|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I15,15,4,322.0000,302.0000,862.0000,498.8990,196.8424,302.0000,6.2112,0.0000,48623.0000,24.3115,2000,2000,10,0.5000,1.1225,3-14-4-8-1-15-13-5-11-7-9-6-10-12-2,PSO|Pop:2000|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I16,15,4,0.0000,0.0000,14.0000,0.2195,0.2195,0.0000,0.0000,0.0000,65470.0000,32.7350,2000,2000,0,0.0000,63.7813,12-14-13-5-10-9-7-1-4-15-11-6-2-8-3,PSO|Pop:2000|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I17,20,2,3178.0000,2920.0000,4502.0000,3557.4430,635.7769,2920.0000,8.1183,0.0000,43142.0000,21.5710,2000,2000,330,16.5000,0.4447,2-7-4-5-9-20-15-18-1-6-14-17-11-3-10-12-19-13-16-8,PSO|Pop:2000|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I18,20,2,2922.0000,2697.0000,4115.0000,3298.8915,599.6370,2697.0000,7.7002,0.0000,42881.0000,21.4405,2000,2000,302,15.1000,0.4298,11-4-13-18-10-15-20-12-6-16-5-2-1-9-14-19-8-7-3-17,PSO|Pop:2000|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I19,20,2,74.0000,72.0000,435.0000,186.0665,114.0566,72.0000,2.7027,0.0000,47751.0000,23.8755,2000,2000,10,0.5000,1.9509,11-17-1-18-10-13-20-19-2-16-7-15-9-3-6-8-4-14-5-12,PSO|Pop:2000|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I20,20,2,68.0000,68.0000,413.0000,163.1935,95.1935,68.0000,0.0000,0.0000,46577.0000,23.2885,2000,2000,0,0.0000,2.1141,10-8-1-20-14-17-16-5-7-11-2-19-6-9-18-13-12-4-15-3,PSO|Pop:2000|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
I21,20,2,655.0000,615.0000,1433.0000,928.3325,313.0064,615.0000,6.1069,0.0000,51998.0000,25.9990,2000,2000,137,6.8500,0.8811,3-5-9-12-19-4-8-14-18-11-13-6-20-17-10-2-7-16-1-15,PSO|Pop:2000|Gen:2000|c1:0.200000|c2:0.200000|Pm:0.900000|Cross:4|Mut:4
